Image_ID,Class
20201015_DWG_DRX_2_train_image0.jpg,0
20201015_DWG_DRX_2_train_image1.jpg,0
20201015_DWG_DRX_2_train_image2.jpg,0
20201015_DWG_DRX_2_train_image3.jpg,0
20201015_DWG_DRX_2_train_image4.jpg,0
20201015_DWG_DRX_2_train_image5.jpg,0
20201015_DWG_DRX_2_train_image6.jpg,0
20201015_DWG_DRX_2_train_image7.jpg,0
20201015_DWG_DRX_2_train_image8.jpg,0
20201015_DWG_DRX_2_train_image9.jpg,0
20201015_DWG_DRX_2_train_image10.jpg,0
20201015_DWG_DRX_2_train_image11.jpg,0
20201015_DWG_DRX_2_train_image12.jpg,0
20201015_DWG_DRX_2_train_image13.jpg,0
20201015_DWG_DRX_2_train_image14.jpg,0
20201015_DWG_DRX_2_train_image15.jpg,0
20201015_DWG_DRX_2_train_image16.jpg,0
20201015_DWG_DRX_2_train_image17.jpg,0
20201015_DWG_DRX_2_train_image18.jpg,0
20201015_DWG_DRX_2_train_image19.jpg,0
20201015_DWG_DRX_2_train_image20.jpg,0
20201015_DWG_DRX_2_train_image21.jpg,0
20201015_DWG_DRX_2_train_image22.jpg,0
20201015_DWG_DRX_2_train_image23.jpg,0
20201015_DWG_DRX_2_train_image24.jpg,0
20201015_DWG_DRX_2_train_image25.jpg,0
20201015_DWG_DRX_2_train_image26.jpg,0
20201015_DWG_DRX_2_train_image27.jpg,0
20201015_DWG_DRX_2_train_image28.jpg,0
20201015_DWG_DRX_2_train_image29.jpg,0
20201015_DWG_DRX_2_train_image30.jpg,0
20201015_DWG_DRX_2_train_image31.jpg,0
20201015_DWG_DRX_2_train_image32.jpg,0
20201015_DWG_DRX_2_train_image33.jpg,0
20201015_DWG_DRX_2_train_image34.jpg,0
20201015_DWG_DRX_2_train_image35.jpg,0
20201015_DWG_DRX_2_train_image36.jpg,0
20201015_DWG_DRX_2_train_image37.jpg,0
20201015_DWG_DRX_2_train_image38.jpg,0
20201015_DWG_DRX_2_train_image39.jpg,0
20201015_DWG_DRX_2_train_image40.jpg,0
20201015_DWG_DRX_2_train_image41.jpg,0
20201015_DWG_DRX_2_train_image42.jpg,0
20201015_DWG_DRX_2_train_image43.jpg,0
20201015_DWG_DRX_2_train_image44.jpg,0
20201015_DWG_DRX_2_train_image45.jpg,0
20201015_DWG_DRX_2_train_image46.jpg,0
20201015_DWG_DRX_2_train_image47.jpg,0
20201015_DWG_DRX_2_train_image48.jpg,0
20201015_DWG_DRX_2_train_image49.jpg,0
20201015_DWG_DRX_2_train_image50.jpg,0
20201015_DWG_DRX_2_train_image51.jpg,0
20201015_DWG_DRX_2_train_image52.jpg,0
20201015_DWG_DRX_2_train_image53.jpg,0
20201015_DWG_DRX_2_train_image54.jpg,0
20201015_DWG_DRX_2_train_image55.jpg,0
20201015_DWG_DRX_2_train_image56.jpg,0
20201015_DWG_DRX_2_train_image57.jpg,0
20201015_DWG_DRX_2_train_image58.jpg,0
20201015_DWG_DRX_2_train_image59.jpg,0
20201015_DWG_DRX_2_train_image60.jpg,0
20201015_DWG_DRX_2_train_image61.jpg,0
20201015_DWG_DRX_2_train_image62.jpg,0
20201015_DWG_DRX_2_train_image63.jpg,0
20201015_DWG_DRX_2_train_image64.jpg,0
20201015_DWG_DRX_2_train_image65.jpg,0
20201015_DWG_DRX_2_train_image66.jpg,0
20201015_DWG_DRX_2_train_image67.jpg,0
20201015_DWG_DRX_2_train_image68.jpg,0
20201015_DWG_DRX_2_train_image69.jpg,0
20201015_DWG_DRX_2_train_image70.jpg,0
20201015_DWG_DRX_2_train_image71.jpg,0
20201015_DWG_DRX_2_train_image72.jpg,0
